词语1		词语2		语义相似度
电唁	n	唁电	n	0.7021773
雕漆	v	漆雕	v	0.698601
滑润	a	润滑	v	0.6947163
画图	n	图画	n	0.69427884
画图	n	图画	n	0.69427884
播撒	v	撒播	v	0.693768
儿女	n	女儿	n	0.6932443
差误	a	误差	n	0.6918033
巧手	n	手巧	a	0.69168246
彩灯	n	灯彩	n	0.690253
守职	v	职守	n	0.6897108
器乐	n	乐器	n	0.68936926
膀臂	n	臂膀	n	0.68909204
报捷	v	捷报	n	0.68855685
浮漂	v	漂浮	v	0.68824446
菜蔬	n	蔬菜	n	0.6879807
编选	v	选编	v	0.6877822
滨海	ns	海滨	nl	0.68662506
辨明	v	明辨	v	0.6854519
集市	n	市集	n	0.6852978
富豪	n	豪富	n	0.685192
枯荣	a	荣枯	n	0.68502724
使役	v	役使	v	0.6840428
翻滚	v	滚翻	n	0.6826184
渡轮	n	轮渡	n	0.68144494
灵性	n	性灵	n	0.6800843
积累	v	累积	v	0.67931527
黑心	n	心黑	a	0.6792523
胶乳	n	乳胶	n	0.67751753
国外	nl	外国	n	0.6755792
侵入	v	入侵	v	0.6744005
读音	n	音读	n	0.6721959
烦心	v	心烦	a	0.67206943
尘烟	n	烟尘	n	0.6714615
花眼	n	眼花	v	0.6713725
付托	v	托付	v	0.6708479
笔译	n	译笔	n	0.6707766
分毫	n	毫分	n	0.67045116
体形	n	形体	n	0.66899276
半夜	nt	夜半	nt	0.6688664
空闲	v	闲空	n	0.66788983
傍依	v	依傍	v	0.66525155
代替	v	替代	v	0.66469973
文戏	n	戏文	n	0.66461414
幻梦	n	梦幻	n	0.66260344
礼赞	v	赞礼	n	0.6625476
豆青	n	青豆	n	0.6624422
定论	n	论定	v	0.6620354
摆钟	v	钟摆	n	0.66176254
女神	n	神女	n	0.6616061
伤损	v	损伤	v	0.6610005
电贺	v	贺电	n	0.66047376
谱系	n	系谱	n	0.6598415
宽心	v	心宽	a	0.65982527
销行	v	行销	v	0.65782714
载重	v	重载	v	0.6577959
额数	n	数额	n	0.6576229
静心	v	心静	a	0.6575641
减削	v	削减	v	0.65741014
伴侣	n	侣伴	n	0.6564621
漏泄	v	泄漏	v	0.6562698
井盐	n	盐井	n	0.6562326
返回	v	回返	v	0.6555135
欠缺	v	缺欠	v	0.6551892
案犯	n	犯案	v	0.65446013
容颜	n	颜容	n	0.6536239
枝叶	n	叶枝	nh	0.65293604
定准	n	准定	d	0.652393
诗史	n	史诗	n	0.6501256
埋葬	v	葬埋	x	0.6487064
伸延	v	延伸	v	0.6484233
粉红	a	红粉	n	0.64842266
传流	v	流传	v	0.64771366
紧要	a	要紧	a	0.6459231
官宦	n	宦官	n	0.6455825
乞讨	v	讨乞	v	0.64520556
会聚	v	聚会	v	0.64461064
护养	v	养护	v	0.64460987
柑橘	n	橘柑	x	0.6442486
畜力	n	力畜	n	0.64396226
含蕴	v	蕴含	v	0.6437128
交结	v	结交	v	0.6418019
伙同	v	同伙	n	0.6413242
出演	v	演出	v	0.64016455
客堂	n	堂客	n	0.6392468
酥油	n	油酥	n	0.6383957
烟云	n	云烟	n	0.6378023
查核	v	核查	v	0.6375207
救援	v	援救	v	0.63731235
迟延	v	延迟	v	0.6369962
动心	v	心动	v	0.6362205
悲伤	a	伤悲	a	0.63375556
猫熊	n	熊猫	n	0.63306594
言语	n	语言	n	0.6319929
细心	a	心细	a	0.6307232
黄米	n	米黄	a	0.62860674
酒水	n	水酒	n	0.6284112
生手	n	手生	a	0.6283738
出展	v	展出	v	0.6280399
评述	v	述评	n	0.6276889
高音	n	音高	n	0.62660503
红脸	n	脸红	v	0.6254601
犯人	n	人犯	n	0.62386966
岔道	n	道岔	n	0.62375736
谈笑	v	笑谈	v	0.62323916
微细	a	细微	a	0.6225392
倒反	d	反倒	d	0.621705
测探	v 	探测	v	0.6197738
承担	v	担承	v	0.6195689
歌颂	v	颂歌	n	0.6186441
刷洗	v	洗刷	v	0.61845815
和谐	a	谐和	a	0.616856
车棚	n	棚车	n	0.61539865
答对	v	对答	v	0.6135731
剩余	v	余剩	n	0.6116567
外域	nd	域外	nl	0.61107355
草莽	n	莽草	x	0.6103571
倍加	d	加倍	v	0.6091649
壤土	n	土壤	n	0.6084339
冲要	n	要冲	n	0.6074641
油脂	n	脂油	n	0.607151
验证	v	证验	v	0.6068247
画院	n	院画	n	0.6061615
黄昏	nt	昏黄	a	0.6043268
潮红	a	红潮	n	0.60397255
流水	n	水流	n	0.6033569
改悔	v	悔改	v	0.6030235
来由	n	由来	n	0.60292596
奶牛	n	牛奶	n	0.602717
泪眼	n	眼泪	n	0.5983816
调谐	v	谐调	a	0.5979741
会意	v	意会	v	0.59790456
花盆	n	盆花	n	0.597325
白话	n	话白	n	0.59614074
比较	v	较比	v	0.5954089
合适	a	适合	v	0.5941893
集邮	v	邮集	n	0.5928385
怕生	v	生怕	d	0.5926827
犯罪	v	罪犯	n	0.5925613
点燃	v	燃点	v	0.5920953
解剖	v	剖解	v	0.5914705
长短	n	短长	n	0.5912224
传家	ns	家传	v	0.59111196
假装	v	装假	v	0.59068435
果糖	n	糖果	n	0.5904862
官职	n	职官	n	0.590404
黄土	n	土黄	a	0.5902865
从打	p	打从	p	0.5902762
彩虹	n	虹彩	n	0.5891512
梗阻	v	阻梗	v	0.58871776
经历	n	历经	v	0.5885383
鉴赏	v	赏鉴	v	0.5878106
乞求	v	求乞	v	0.58577746
乱杂	a	杂乱	a	0.585692
手松	a	松手	v	0.5851905
积蓄	v	蓄积	v	0.58405423
丛林	n	林丛	n	0.5822707
报警	v	警报	n	0.58177835
补贴	n	贴补	v	0.5814423
传世	v	世传	v	0.58117414
暴风	n	风暴	n	0.5809543
白眼	n	眼白	n	0.58093256
音乐	n	乐音	n	0.5805199
池盐	n	盐池	n	0.5791996
队列	n	列队	v	0.57698995
气压	n	压气	v	0.5764749
逃脱	v	脱逃	v	0.57646906
变形	v	形变	n	0.5752535
扮装	v	装扮	v	0.57525194
棉絮	n	絮棉	n	0.573646
灯油	n	油灯	n	0.5710369
脚注	n	注脚	n	0.5706296
风流	a	流风	n	0.57051456
光荣	n	荣光	a	0.5701069
印油	v	油印	v	0.5700428
茶花	n	花茶	n	0.56724286
毒蛇	n	蛇毒	n	0.5664814
散失	v	失散	v	0.56610876
鼓手	n	手鼓	n	0.5643728
机心	n	心机	n	0.56432056
查询	v	询查	v	0.56418604
疗治	v	治疗	v	0.56399894
饭盒	n	盒饭	n	0.56388867
断片	n	片断	n	0.56268305
礼聘	v	聘礼	n	0.56184685
貌相	n	相貌	n	0.5612692
积聚	v	聚集	v	0.5602428
法书	n	书法	n	0.5600579
红花	n	花红	n	0.5598869
灯台	n	台灯	n	0.5595076
方药	n	药方	n	0.5591113
迷失	v	失迷	v	0.5577634
豆绿	n	绿豆	n	0.5573432
花市	n	市花	n	0.5572043
护卫	n	卫护	v	0.55704
和议	n	议和	v	0.55631864
面相	n	相面	v	0.5544626
年青	a	青年	n	0.5541713
连通	v	通连	v	0.5533236
急救	v	救急	v	0.5523822
球台	n	台球	n	0.5522772
火炮	n	炮火	n	0.5511653
邦联	n	联邦	n	0.54909194
近邻	n	邻近	v	0.5482588
票选	v	选票	n	0.5465566
飞腾	v	腾飞	v	0.5464236
电机	n	机电	j	0.54562855
菜油	n	油菜	n	0.5454484
查考	v	考查	v	0.5447847
国王	n	王国	n	0.54386574
明显	a	显明	a	0.5434639
母乳	n	乳母	n	0.5415546
过路	v	路过	v	0.53985304
响音	n	音响	n	0.53984976
灯花	n	花灯	n	0.53863645
空虚	a	虚空	a	0.5355665
凡是	d	是凡	d	0.53543603
据实	d	实据	n	0.5350221
承应	v	应承	v	0.5344001
平生	nt	生平	n	0.53130704
船民	n	民船	n	0.5311538
头先	n	先头	nd	0.5311457
喜欢	v	欢喜	a	0.53107804
官长	n	长官	n	0.5307719
事物	n	物事	n	0.53019077
访寻	v	寻访	v	0.52994996
调协	v	协调	v	0.52888924
家居	v	居家	v	0.5282649
草荒	n	荒草	n	0.5278395
定额	n	额定	a	0.5238234
评书	n	书评	n	0.523298
心愿	n	愿心	n	0.5232968
大拿	n	拿大	v	0.5210873
包皮	n	皮包	n	0.51871157
故旧	n	旧故	a	0.5185028
法王	n	王法	n	0.5179613
教主	n	主教	n	0.5178884
顶头	v	头顶	nl	0.5151998
明证	n	证明	v	0.5146609
甘心	v	心甘	v	0.51362807
变量	n	量变	n	0.5130158
集结	v	结集	v	0.51262385
集结	v	结集	v	0.51262385
领头	v	头领	n	0.51245826
守信	v	信守	v	0.51210123
耳顺	n	顺耳	a	0.51198083
类同	v	同类	n	0.5108096
期限	nt	限期	v	0.5106272
故世	v	世故	n	0.51001626
田庄	n	庄田	nh	0.50944996
插花	n	花插	n	0.5080392
白灰	n	灰白	a	0.50551206
腹心	n	心腹	n	0.5045997
人中	n	中人	n	0.5039957
绅士	n	士绅	n	0.5037344
查检	v	检查	v	0.5032608
发散	v	散发	v	0.50305086
罗网	n	网罗	v	0.50207657
笔画	n	画笔	n	0.4998612
尾追	v	追尾	v	0.49958807
蜂蜜	n	蜜蜂	n	0.49942288
家世	n	世家	n	0.49927205
强压	v	压强	n	0.49685994
射影	n	影射	v	0.4966157
期末	nt	末期	nt	0.49642506
旅行	v	行旅	n	0.4960803
回收	v	收回	v	0.49581197
河运	v	运河	ns	0.4943122
负重	v	重负	n	0.49402994
风门	n	门风	n	0.4936393
战争	n	争战	v	0.4926265
道路	n	路道	n	0.49041715
决议	n	议决	v	0.48843554
地极	n	极地	nl	0.48827657
对门	n	门对	n	0.4881754
等同	v	同等	a	0.4873897
问讯	v	讯问	v	0.48360077
弹子	n	子弹	n	0.48339862
红枣	n	枣红	a	0.4832198
后嗣	n	嗣后	nt	0.4828942
成形	v	形成	v	0.48280808
归来	v	来归	v	0.48179212
安心	a	心安	a	0.47998068
安心	a	心安	a	0.47998068
归总	v	总归	d	0.47932333
青天	n	天青	a	0.4782271
千万	d	万千	m	0.477843
斗争	n	争斗	v	0.47764382
近亲	n	亲近	v	0.4772982
感性	a	性感	a	0.47672006
理学	n	学理	n	0.4766154
健康	a	康健	a	0.4765248
界限	n	限界	ns	0.47256887
民选	v	选民	n	0.47004014
归回	v	回归	v	0.46904173
家书	n	书家	n	0.46899197
利权	n	权利	n	0.4642001
黑手	n	手黑	a	0.46315417
粒子	n	子粒	n	0.46230444
房客	n	客房	n	0.46228096
白花	n	花白	a	0.4611645
女士	n	士女	n	0.46083233
草虫	n	虫草	j	0.45996204
会堂	n	堂会	n	0.45993453
黄牛	n	牛黄	n	0.45734072
分化	v	化分	v	0.45621577
何如	r	如何	r	0.45610237
变质	v	质变	n	0.45589367
担负	v	负担	v	0.45588923
农药	n	药农	n	0.4543204
束装	v	装束	n	0.45363572
耕牛	n	牛耕	nh	0.45265207
半大	a	大半	n	0.45208395
打铁	v	铁打	v	0.44899365
打炮	v	炮打	n	0.44890115
而已	u	已而	d	0.4484504
力学	n	学力	n	0.44810683
力学	n	学力	n	0.44810683
波长	n	长波	n	0.44801152
病害	n	害病	v	0.44793934
边沿	n	沿边	v	0.44749326
枪手	n	手枪	n	0.44610563
海内	nl	内海	nl	0.44559574
心醉	v	醉心	v	0.44473246
伴同	v	同伴	n	0.44444817
见面	v	面见	v	0.44400808
次等	q	等次	q	0.44389862
年少	a	少年	n	0.44275
理论	n	论理	v	0.44271544
理论	n	论理	v	0.44271544
爱恋	v	恋爱	v	0.44195303
大胆	a	胆大	a	0.44192746
大胆	a	胆大	a	0.44192746
融通	v	通融	v	0.44164956
对应	v	应对	v	0.44139627
道门	n	门道	n	0.4385668
后事	n	事后	nt	0.43783224
告警	v	警告	v	0.43704474
共通	a	通共	d	0.4354838
期中	nt	中期	nt	0.43541282
石油	n	油石	n	0.43502858
实证	n	证实	v	0.4337095
不无	v	无不	d	0.43242997
城府	n	府城	n	0.43142992
旗手	n	手旗	ns	0.4298107
草野	n	野草	n	0.42908436
法师	n	师法	v	0.42903233
汇总	v	总汇	n	0.42807078
共总	d	总共	d	0.42490697
介绍	v	绍介	v	0.4244673
事主	n	主事	v	0.4238865
笔试	v	试笔	v	0.4236073
情人	n	人情	n	0.4229929
会集	v	集会	n	0.42211223
心虚	a	虚心	a	0.4219253
法政	j	政法	j	0.42154709
奖金	n	金奖	n	0.41706374
定规	d	规定	v	0.41572353
明说	v	说明	v	0.41562024
方正	a	正方	n	0.41419235
火焰	n	焰火	n	0.41299245
故国	n	国故	n	0.4127332
和平	a	平和	a	0.4095452
弟子	n	子弟	n	0.4088896
来年	nt	年来	nt	0.40468705
草皮	n	皮草	n	0.40414852
统一	v	一统	v	0.40337154
皇天	n	天皇	n	0.40310878
汽水	n	水汽	n	0.4025462
居民	n	民居	n	0.4024162
华中	nl	中华	ns	0.40196282
马铁	n	铁马	n	0.40168798
科学	n	学科	n	0.39880353
版图	n	图版	n	0.39793262
假使	c	使假	v	0.39741132
规正	v	正规	a	0.39738467
保管	v	管保	v	0.39720505
外援	n	援外	v	0.39663842
本原	n	原本	d	0.39636394
法家	ns	家法	n	0.3952938
初年	nt	年初	nt	0.39227664
气人	v	人气	n	0.391945
盲文	n	文盲	n	0.3905705
好看	a	看好	v	0.39052764
动脉	n	脉动	v	0.39039043
敌情	n	情敌	n	0.389464
生养	v	养生	v	0.38851702
部队	n	队部	n	0.3882468
路线	n	线路	n	0.38715404
象形	v	形象	n	0.38711104
车手	n	手车	n	0.38632962
光火	v	火光	n	0.38026613
彩色	n	色彩	n	0.3793022
单名	n	名单	n	0.37917155
人世	nl	世人	n	0.37789905
海外	nl	外海	n	0.37702248
深渊	n	渊深	x	0.3764442
正中	nd	中正	a	0.37606266
名著	n	著名	a	0.37585264
会商	v	商会	n	0.37451872
钉螺	v	螺钉	n	0.37115416
界外	nl	外界	n	0.37091842
发生	v	生发	v	0.3698883
称号	n	号称	v	0.36974832
话说	v	说话	v	0.3679333
话说	v	说话	v	0.3679333
前生	nt	生前	nt	0.3677246
会议	n	议会	n	0.3674108
送葬	v	葬送	v	0.3661704
名学	n	学名	n	0.36561257
人文	n	文人	n	0.36541718
家人	n	人家	r	0.36475852
田园	n	园田	n	0.36471558
才刚	d	刚才	d	0.36385235
运转	v	转运	v	0.36213633
除开	v	开除	v	0.36143988
产房	n	房产	n	0.36096838
列入	v	入列	v	0.36050546
急性	a	性急	a	0.36049542
闭关	v	关闭	v	0.35863218
功用	n	用功	a	0.35683078
书证	n	证书	n	0.3544436
来生	nt	生来	v	0.35129014
落座	v	座落	v	0.35109544
分工	v	工分	n	0.35085088
具文	n	文具	n	0.34963408
人士	n	士人	n	0.34946123
人为	a	为人	n	0.3464259
鞍马	n	马鞍	n	0.34587437
前日	nt	日前	nt	0.34532088
工矿	j	矿工	n	0.34500605
号外	n	外号	n	0.34080082
对面	nd	面对	v	0.33926135
达到	v	到达	v	0.3379174
实事	n	事实	n	0.3362589
动感	n	感动	v	0.33451125
心重	a	重心	n	0.33215433
国民	n	民国	nt	0.33074605
宝珠	n	珠宝	n	0.32805437
火星	n	星火	n	0.32705802
火星	n	星火	n	0.32705802
实现	v	现实	n	0.32421368
断垄	v	垄断	v	0.31987152
产地	n	地产	n	0.31362742
纪年	v	年纪	nt	0.3118883
人头	n	头人	n	0.31102812
好友	n	友好	a	0.31052646
进行	v	行进	v	0.30945435
动摇	v	摇动	v	0.3068088
动能	n	能动	a	0.3067949
力主	v	主力	n	0.30207
发挥	v	挥发	v	0.30078378
地质	n	质地	n	0.2986224
导向	v	向导	n	0.2986154
黄金	n	金黄	a	0.29177102
白银	n	银白	a	0.29168046
面世	v	世面	n	0.28732526
接连	d	连接	v	0.2860772
前提	n	提前	v	0.28563264
同一	a	一同	d	0.2847511
低压	n	压低	v	0.28393388
传真	n	真传	n	0.2828108
打开	v	开打	v	0.27827772
成天	nt	天成	v	0.27318263
径直	d	直径	n	0.2719909
女子	n	子女	n	0.27146706
超出	v	出超	n	0.2679815
爱心	n	心爱	a	0.25963777
产生	v	生产	v	0.25706133
理事	n	事理	n	0.25701886
办公	v	公办	v	0.25216737
见习	v	习见	v	0.25095558
国立	a	立国	v	0.24597576
护照	n	照护	v	0.24339625
年终	nt	终年	nt	0.2430595
产物	n	物产	n	0.24205695
明文	n	文明	a	0.23973186
加强	v	强加	v	0.23556381
传言	v	言传	v	0.23549707
工人	n	人工	n	0.2337375
来历	n	历来	d	0.23260665
出发	v	发出	v	0.21524914
动机	n	机动	a	0.20477515
地基	n	基地	n	0.18433131
心中	nl	中心	n	0.15478002
